"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1692","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"1693","e","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1694","e","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1695","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1696","e","x","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1697","e","f","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1698","e","f","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1699","e","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1701","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"1704","p","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1707","e","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1708","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1709","e","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1710","e","x","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"1712","e","x","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1713","e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","d"
"1714","e","x","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1716","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"1717","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1721","e","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1725","e","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1726","p","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1727","e","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1728","e","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1729","e","x","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"1730","e","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1732","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1735","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1736","e","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1738","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"1739","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1740","p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1741","e","x","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1742","e","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1743","e","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1744","e","x","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1746","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1747","e","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1748","e","f","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","y","u"
"1750","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1752","e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p"
"1753","e","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1754","e","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1755","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1756","e","f","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1760","e","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1761","e","x","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1764","e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"1766","p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1767","e","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1769","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"1770","e","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","g"
"1772","e","x","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1773","e","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1774","e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1777","e","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1778","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1779","p","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1780","e","x","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1781","e","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1782","e","f","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1783","e","x","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1784","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1785","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1786","e","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1789","e","x","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1791","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1794","e","f","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1795","e","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1796","p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1797","e","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1798","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1801","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"1802","e","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1803","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1804","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"1805","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1808","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d"
"1810","e","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1813","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1815","e","x","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1817","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","g"
"1819","e","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1820","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1822","e","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1823","p","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1828","e","f","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1831","e","x","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"1832","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1833","e","f","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1834","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"1835","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1836","e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1841","e","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1844","p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1845","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"1846","e","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1849","e","f","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d"
"1850","e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1852","e","x","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1853","e","x","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"1854","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1857","e","x","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"1858","e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1859","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"1860","e","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1861","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"1862","e","x","y","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","d"
"1866","e","x","y","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1867","e","x","y","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","d"
"1868","e","x","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1870","e","x","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1871","e","x","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1872","e","f","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1874","e","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1875","e","x","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1876","e","x","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d"
"1877","e","x","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"1879","e","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1880","e","x","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1881","e","x","s","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1882","e","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1883","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d"
"1884","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"1885","e","f","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d"
"1886","e","f","f","w","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"1889","e","f","f","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1890","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"1891","e","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1892","e","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1894","e","x","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1896","e","x","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1899","e","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1900","e","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1903","e","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1904","e","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1905","e","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1906","e","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1907","e","f","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1908","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d"
"1909","e","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1912","e","x","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1913","e","x","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","v","d"
"1914","e","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1915","e","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1916","e","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","g"
"1918","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1919","e","f","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1921","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"1924","e","x","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1925","e","x","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1926","e","f","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1927","e","x","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1929","e","f","s","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1930","e","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1932","e","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1933","e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1934","e","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1936","e","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1937","e","f","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"1938","e","x","f","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1940","e","x","s","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1941","e","x","y","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1942","e","f","f","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","v","d"
"1943","e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"1946","p","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1947","e","f","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1949","e","x","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1950","e","x","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1951","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1952","e","x","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1955","e","x","f","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"1961","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"1962","e","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1963","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1964","e","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1966","e","f","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1968","e","f","s","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1969","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1970","e","f","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1971","e","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1972","e","f","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1975","e","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1980","e","x","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1981","e","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1983","e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"1984","e","x","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1988","p","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1991","p","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"1993","e","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1994","e","x","f","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"1995","e","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1997","e","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1998","e","f","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"2006","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","g"
"2007","p","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","g"
"2008","e","f","f","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"2009","e","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"2010","p","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"2013","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"2019","e","f","f","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2020","e","f","f","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2022","e","x","y","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2024","e","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"2025","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","d"
"2026","e","x","f","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2027","e","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"2031","e","x","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2032","e","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","g"
"2034","e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d"
"2037","e","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","g"
"2039","e","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"2040","e","x","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","d"
"2041","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","d"
"2042","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"2043","e","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"2044","e","f","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"2045","e","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"2046","e","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","p"
"2049","e","x","y","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"2052","e","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"2053","e","x","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"2054","e","f","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"2057","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2058","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","d"
"2059","e","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2062","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"2065","e","x","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"2066","e","x","y","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2067","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","d"
"2069","e","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"2071","e","f","f","g","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"2074","e","x","f","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d"
"2079","e","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g"
"2081","e","x","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"2082","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"2083","e","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d"
"2085","e","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"2086","e","f","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"2090","p","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","u"
"2091","e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"2092","e","x","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"2094","e","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"2095","e","f","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"2096","e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","y","d"
"2097","e","f","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2098","e","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"2099","p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g"
"2101","e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2102","e","f","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"2103","e","x","y","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d"
"2104","e","x","f","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"2105","e","f","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","y","d"
"2106","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"2109","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2110","e","f","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2112","e","x","y","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d"
"2113","p","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"2114","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","d"
"2115","e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d"
"2116","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","y","d"
"2119","e","x","f","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2128","e","x","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"2129","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"2131","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2133","e","x","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"2134","e","f","f","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","y","d"
"2137","e","x","y","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"2143","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d"
"2144","e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"2145","e","f","y","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"2146","e","f","y","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","d"
"2147","e","x","y","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d"
